Nodo1,Nodo2,lat1,long1,lat2,long2
304465030,5046382431,-23.5947128,-46.6557567,-23.5948695,-46.6562046
304465031,304465050,-23.5953194,-46.6575485,-23.5947073,-46.657799
304465031,5046375344,-23.5953194,-46.6575485,-23.5954651,-46.6574915
304465031,1393379735,-23.5953194,-46.6575485,-23.5955099,-46.6580802
304465031,5046382431,-23.5953194,-46.6575485,-23.5948695,-46.6562046
304693382,304465062,-23.5932285,-46.6523637,-23.5936548,-46.6527739
304465033,8050222057,-23.5965916,-46.6612955,-23.5965697,-46.6613385
304465033,304465048,-23.5965916,-46.6612955,-23.5967426,-46.6609549
304465033,1393379785,-23.5965916,-46.6612955,-23.5962035,-46.6601411
8743596170,8743596171,-23.5959966,-46.6594465,-23.5959684,-46.6594317
8743596170,8743596173,-23.5959966,-46.6594465,-23.5959833,-46.6594774
304465035,304693394,-23.5941027,-46.658043,-23.5945148,-46.6592638
304465035,304465050,-23.5941027,-46.658043,-23.5947073,-46.657799
8743596171,304693391,-23.5959684,-46.6594317,-23.5958431,-46.6590396
8743596171,8743596172,-23.5959684,-46.6594317,-23.5959551,-46.6594628
8743596172,304465051,-23.5959551,-46.6594628,-23.5953515,-46.6596974
8743596172,8743596173,-23.5959551,-46.6594628,-23.5959833,-46.6594774
8743596173,1393379785,-23.5959833,-46.6594774,-23.5962035,-46.6601411
304693391,1393379735,-23.5958431,-46.6590396,-23.5955099,-46.6580802
304693392,2380750797,-23.5965811,-46.6569828,-23.5963608,-46.6574281
304693392,5046399484,-23.5965811,-46.6569828,-23.5962652,-46.6571646
304465040,304693396,-23.5975361,-46.6593097,-23.5981098,-46.6596601
304693394,304465036,-23.5945148,-46.6592638,-23.5947431,-46.6599402
304693394,304693393,-23.5945148,-46.6592638,-23.5935801,-46.6596281
142836883,304465121,-23.5938139,-46.653077,-23.5948148,-46.6540271
304693396,304465048,-23.5981098,-46.6596601,-23.5967426,-46.6609549
304693389,304465062,-23.5937841,-46.6514319,-23.5936548,-46.6527739
304693398,298288943,-23.6014439,-46.6570729,-23.6015358,-46.6571615
304693398,3472243445,-23.6014439,-46.6570729,-23.601245,-46.6568843
304693398,304465087,-23.6014439,-46.6570729,-23.6007568,-46.6579322
304465050,304465051,-23.5947073,-46.657799,-23.5953515,-46.6596974
304465051,304465036,-23.5953515,-46.6596974,-23.5947431,-46.6599402
304465051,304465052,-23.5953515,-46.6596974,-23.5959712,-46.6615477
304465052,8050222057,-23.5959712,-46.6615477,-23.5965697,-46.6613385
8726319258,1393380658,-23.5992125,-46.6514582,-23.5991534,-46.6514055
8726319258,1393380694,-23.5992125,-46.6514582,-23.5993146,-46.6514354
304465056,1393379726,-23.5950049,-46.6560296,-23.5953987,-46.6555377
304465056,5046382431,-23.5950049,-46.6560296,-23.5948695,-46.6562046
304465062,142842351,-23.5936548,-46.6527739,-23.5958231,-46.6548171
304693419,304693470,-23.5992531,-46.6600058,-23.5996479,-46.6603918
304693419,302727636,-23.5992531,-46.6600058,-23.600067,-46.659
304693419,8723130199,-23.5992531,-46.6600058,-23.5993246,-46.6597294
304465087,304465088,-23.6007568,-46.6579322,-23.6001963,-46.6574193
304465087,2583653816,-23.6007568,-46.6579322,-23.600224,-46.6586041
304693451,302727636,-23.6008425,-46.6597586,-23.600067,-46.659
304693451,298292112,-23.6008425,-46.6597586,-23.6009544,-46.6596247
1393379541,1393379645,-23.5934984,-46.6540633,-23.5945832,-46.6543347
304465121,1393379645,-23.5948148,-46.6540271,-23.5945832,-46.6543347
304465121,2513875329,-23.5948148,-46.6540271,-23.5956514,-46.6548095
3270516969,3270516970,-23.5988634,-46.6512067,-23.5995029,-46.6512745
3270516969,1393380658,-23.5988634,-46.6512067,-23.5991534,-46.6514055
3270516969,4024247137,-23.5988634,-46.6512067,-23.5977112,-46.6510858
3270516970,1393380694,-23.5995029,-46.6512745,-23.5993146,-46.6514354
1434789113,142842351,-23.5964016,-46.6509745,-23.5958231,-46.6548171
1434789113,4033623326,-23.5964016,-46.6509745,-23.5964486,-46.6504841
1434789113,4024247137,-23.5964016,-46.6509745,-23.5977112,-46.6510858
298291977,298292112,-23.6017455,-46.6603707,-23.6009544,-46.6596247
